Id,Indicador,Proceso
201,PRUEBA,GOBIERNO INSTITUCIONAL
59,Apalancamiento financiero,GESTIÓN FINANCIERA
598,Satisfacción Front bienestar y relaciones laborales,GESTIÓN Y DESARROLLO DEL TALENTO HUMANO
599,eNPS (indice de recomendación de colaboradores),GESTIÓN Y DESARROLLO DEL TALENTO HUMANO
600,% de profesores impactados en actividades de Bienestar (Indefinido- Fijo Anualizado),GESTIÓN Y DESARROLLO DEL TALENTO HUMANO
604,Oportunidad en tiempo de fase de cierre,Gestión de Proyectos
608,Índice de oportunidad en el reporte de indicadores,Desempeño Institucional
