ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
145,"Semilleros de investigación, innovación y creación",✅,✅,✅,✅,✅,✅,Ficha Técnica
146,Profesores vinculados a investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
147,Grupos de investigación reconocidos y categorizado,✅,✅,✅,✅,✅,✅,Ficha Técnica
148,Estudiantes vinculados a investigación,✅,✅,✅,✅,✅,✅,Ficha Técnica
150,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
151,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
152,APLICACIÓN EVALUACIÓN DESEMPEÑO PROVEEDORES,✅,✅,✅,❌,✅,✅,Ficha Técnica
153,Ampliación del alcance de la certificación ISO 900,✅,✅,✅,✅,✅,✅,Ficha Técnica
154,Seguimiento Plan de desarrollo Institucional,✅,✅,✅,✅,✅,✅,Ficha Técnica
157,Indexación de bases de datos o sires,✅,✅,✅,✅,✅,✅,Ficha Técnica
158,Proyectos editoriales de investigación e innovació,✅,✅,✅,✅,✅,✅,Ficha Técnica
159,Nivel de Satisfacción Servicios Prestados,✅,✅,✅,✅,✅,✅,Ficha Técnica
160,VALORIZACIÓN DE RESIDUOS CONVENCIONALES SEDE CAMPU,✅,✅,✅,❌,✅,✅,Ficha Técnica
161,VALORIZACIÓN DE RESIDUOS PELIGROSOS SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
162,GASES EFECTO INVERNADERO SEDE CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
163,Participación estudiantes eventos académicos inter,✅,✅,✅,✅,✅,✅,Ficha Técnica
164,Participación docentes eventos académicos internac,✅,✅,✅,✅,✅,✅,Ficha Técnica
167,Satisfacción actividades plan de bienestar,✅,✅,✅,✅,✅,✅,Ficha Técnica
168,CUMPLIMIENTO DE GESTIÓN DE PROYECTOS,✅,✅,✅,✅,✅,✅,Ficha Técnica
171,ANS documentos operativos,✅,✅,✅,✅,✅,✅,Ficha Técnica
172,Cumplimiento plan operativo del SGC,✅,✅,✅,✅,✅,✅,Ficha Técnica
