ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
197,Cumplimiento cronograma Mantenimiento de Equipos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
199,Nivel de cumplimiento de eficacia las capacitacion,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
200,Nivel de efectividad de las capacitaciones,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
202,Great Place to Work,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
203,Cumplimiento de Ingresos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
204,Caja,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
205,Utilidad Neta,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
206,Inversión en CAPEX de la utilidad anterior,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
207,Nivel de Cumplimiento Opex,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
208,Consumo de Agua m3 Mensual,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
210,Aporte de los Procesos a los Objetivos de Desarrol,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
213,Cumplimiento del Plan Anual del Sistema de Gestión,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
214,Generación de Residuos Sólidos Mensual,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
215,Disminución de la Generación de Residuos per Cápit,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
216,Disposición Ambientalmente Adecuada de Residuos Pe,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
217,Aprovechamiento de Residuos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
218,Consumo de Energía Eléctrica kWh Mensual,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
219,Disminución del Consumo de Energía Eléctrica per C,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
220,Disminución del Consumo de Agua per Cápita,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
221,Riesgo de la Calidad del Agua Potable,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
222,Calidad de las Aguas Residuales Domesticas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
223,Registro de Publicidad Exterior Visual,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
224,Cumplimiento Nivel de Emisión de Ruido,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
225,Acciones para el Cuidado y Mantenimiento de las Es,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
226,Generación de Gases de Efecto Invernadero,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
227,Generación de  Gases de Efecto Invernadero per Cáp,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
228,Compensación de Gases de Efecto Invernadero,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
