Proceso,Subproceso,Indicador Propuesto
GESTIÓN FINANCIERA,Planeación Financiera,Retorno de la Inversión (ROI) del Centro Gastronómico
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,LEI,Producción de recursos del CREA
DATOS Y ANALÍTICA,DATOS Y ANALÍTICA,Porcentaje de Fuentes de Datos Migradas
EXTENSIÓN,Emprendimiento,Tasa de graduados que participan en mentorias
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",Número de Proyectos de investigación con impacto en las regiones
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",Número de Proyectos de Cooperación Externa
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",Indicador de nuevo conocimiento
DOCENCIA,Gestión Docente,Satisfacción Docente y Directores con la Herramienta
DATOS Y ANALÍTICA,DATOS Y ANALÍTICA,Procesos con lineamientos implementados
GESTIÓN DE PORTAFOLIO INSTITUCIONAL,"Gestión, Evaluación e Innovación Curricular",Porcentaje de Programas con Reforma Curricular implementada
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS,Administración de Servicios Generales,Nivel de Satisfacción del Usuario (Transporte)
PLANIFICACIÓN  Y MEJORA DEL SISTEMA INTEGRADO,Gestión de calidad,Porcentaje de Procesos Documentados
PLANIFICACIÓN  Y MEJORA DEL SISTEMA INTEGRADO,Gestión de calidad,Alcance de procesos ICONTEC
GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,Cobertura evaluación 360°
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Comunicaciones Internas,Experiencia de usuario con la pagina web
EXTENSIÓN,Gestión de Graduados,Porcentaje de Cobertura de Encuestas de Seguimiento
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,Número de Aplicaciones en Riesgo Migradas
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,Número de Aplicaciones Dadas de Baja
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,LEI,Disminución de tiempos de producción
GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,GESTIÓN DE LA TECNOLOGÍA E INNOVACIÓN DIGITAL,Aplicaciones nuevas desarrolladas en la nueva infraestructura
DIRECCIONAMIENTO ESTRATÉGICO,Planeación Estratégica,Índice de Favorabilidad sobre la Misión Institucional.
DOCENCIA,Gestión de unidades académicas,Índice de Favorabilidad sobre el PEI  Institucional
DOCENCIA,Gestión de unidades académicas,Participación de estudiantes en Actividades de Formación Integral curricular
BIENESTAR INSTITUCIONAL ,Cultura y Deporte,Participación de estudiantes en Actividades de Formación Integral  extracurricular
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Comunicaciones Internas,Estrategias de comunicación de representantes con sus representados
DIRECCIONAMIENTO ESTRATÉGICO,Planeación Estratégica,Participación de Grupos de Interés en la construcción del nuevo plan de desarrollo (PDI)
DIRECCIONAMIENTO ESTRATÉGICO,Planeación Estratégica,"Número de estrategias o espacios de relacionamiento con el sector externo

Alianzas
Convenios"
DIRECCIONAMIENTO ESTRATÉGICO,Planeación Estratégica,Conocimiento de la comunidad del informe de sostenibilidad
RECURSOS ACADÉMICOS Y DE INVESTIGACIÓN,LEI,Utilización de los estudiantes del CREA
GESTIÓN FINANCIERA,Planeación Financiera,Crecimiento de Ingresos de portafolio de Extensión
GESTIÓN FINANCIERA,Planeación Financiera,Inversion al plan de mejoramiento
PLANIFICACIÓN  Y MEJORA DEL SISTEMA INTEGRADO,Gestión de calidad,Cumplimiento plan de mejoramiento institucional
AUDITORÍA INTERNA ,AUDITORÍA INTERNA,Cobertura de procesos auditados POLISIGS
AUTOEVALUACIÓN Y AUTOREGULACIÓN,Autoevaluación institucional,Índice de Apropiación del Sistema Interno de Aseguramiento de la Calidad (SIAC)
